Event_Title,Event_Category,Decision_Text,Budget_Impact_One_Time,Citizen_Approval,Business_Approval,Political_Approval,Environmentalist_Approval,Other_Effects_Description
"Onada de Turisme Rècord","Economia i Mercat","Celebrar l'èxit i assumir el cost energètic",0,2,4,0,0,"La demanda energètica base puja un 10% durant 1 trimestre."
"Onada de Turisme Rècord","Economia i Mercat","Llançar campanya de conscienciació per a l'estalvi",-50,0,-3,0,3,""
"Volatilitat Extrema al Mercat Europeu","Economia i Mercat","Mantenir-se exposat al mercat lliure",0,0,-3,0,0,"Preu de venda d'excedent x1.5, Preu de compra de dèficit x2.0."
"Volatilitat Extrema al Mercat Europeu","Economia i Mercat","Negociar un preu fix temporal (Cost: 200 M€)",-200,0,0,3,0,""
"Troballa Arqueològica Inesperada","Reacció a Construcció","Aturar les obres i reubicar el projecte (Cost: +50% al cost original)",0,5,0,3,0,"El cost de la central en construcció augmenta un 50%."
"Troballa Arqueològica Inesperada","Reacció a Construcció","Continuar les obres. El progrés no es pot aturar.",0,-8,4,-5,-3,""
"Preocupació per la Seguretat Nuclear","Reacció a Construcció","Invertir en una auditoria externa i millores (Cost: 800 M€)",-800,8,0,3,0,""
"Preocupació per la Seguretat Nuclear","Reacció a Construcció","Negar les acusacions i continuar com fins ara",0,-12,0,-5,0,"Activa el risc de manteniment nuclear (nuclearMaintenanceRisk)."
"El Cementiri de Residus Nuclears està Ple","Reacció a Construcció","Construir un nou magatzem (Cost: 2.000 M€)",-2000,-4,0,0,-6,""
"El Cementiri de Residus Nuclears està Ple","Reacció a Construcció","Pagar a França per a que gestioni els residus",0,0,0,-4,0,"Augmenta les despeses recurrents en 150 M€/trimestre."
"Protestes per l'Ocupació de Sòl Agrícola","Reacció a Construcció","Crear un fons de compensació per als agricultors (Cost: 400 M€)",-400,3,0,0,2,""
"Protestes per l'Ocupació de Sòl Agrícola","Reacció a Construcció","Prioritzar la producció energètica",0,-5,2,0,-4,""
"Rebuig Veïnal a un Parc Eòlic","Reacció a Construcció","Negociar i invertir en millores per al municipi (Cost: 300 M€)",-300,4,0,2,0,""
"Rebuig Veïnal a un Parc Eòlic","Reacció a Construcció","Imposar el projecte. L'interès general preval.",0,-7,0,-3,0,""
"Queixes per les Olors d'una Planta de Biomassa","Reacció a Construcció","Instal·lar els nous filtres (Cost: 150 M€)",-150,4,0,0,0,""
"Queixes per les Olors d'una Planta de Biomassa","Reacció a Construcció","Argumentar que la planta compleix la normativa",0,-5,0,0,0,""
"Advertència de la Unió Europea","Política i Societat","Ignorar l'advertència, la indústria és prioritària",0,0,5,-5,-5,""
"Advertència de la Unió Europea","Política i Societat","Crear un pla per contaminar menys (Cost: 250 M€)",-250,0,-3,3,4,""
"Sanció de la Unió Europea","Política i Societat","Acceptar la multa i pagar (Cost: 1.500 M€)",-1500,-5,-5,-5,-5,""
"Manifestació Massiva pel Clima","Política i Societat","Ignorar la protesta",0,-5,0,-3,-8,""
"Manifestació Massiva pel Clima","Política i Societat","Reunir-se amb els líders i prometre més inversions verdes (Cost: 500 M€)",-500,3,0,2,6,""
"Projecte d'Ampliació de l'Aeroport del Prat","Política i Societat","Donar suport total a l'ampliació",0,-5,10,0,-15,""
"Projecte d'Ampliació de l'Aeroport del Prat","Política i Societat","Rebutjar l'ampliació i protegir La Ricarda",0,4,-12,-4,12,""
"Projecte d'Ampliació de l'Aeroport del Prat","Política i Societat","Ampliació Sostenible (amb Compensació Ecològica) (Cost: 1.200 M€)",-1200,-2,2,0,-4,""
"Projecte d'Ampliació de l'Aeroport del Prat","Política i Societat","Convocar un Referèndum Ciutadà",0,0,0,5,0,"El resultat final serà aleatori entre les altres opcions."
"Reconeixement Internacional per la Reducció de CO₂","Política i Societat","Acceptar el reconeixement amb humilitat",0,5,5,5,5,""
"Crisi: Fuga de Capitals","Crisi Governamental","Llançar un paquet d'incentius fiscals urgent (Cost: 1.800 M€)",-1800,0,15,0,0,""
"Crisi: Fuga de Capitals","Crisi Governamental","No cedir al 'xantatge' empresarial",0,0,-10,0,5,"Redueix els ingressos per impostos un 30% de forma permanent."
"Crisi: Ofensiva Legal Ecologista","Crisi Governamental","Crear un fons de compensació mediambiental (Cost: 1.000 M€)",-1000,0,0,0,10,""
"Crisi: Ofensiva Legal Ecologista","Crisi Governamental","Lluitar als tribunals",0,0,0,3,-8,"Bloqueja la construcció de TOTES les centrals durant 4 trimestres."
"Crisi: Moció de Censura","Crisi Governamental","Negociar suports a canvi de concessions (Cost: 750 M€)",-750,0,0,15,0,""
"Crisi: Moció de Censura","Crisi Governamental","Sotmetre's a la votació sense negociar",0,-10,-10,-5,0,""
"Crisi: Vaga General","Crisi Governamental","Negociar un paquet de mesures socials (Cost: 1.200 M€)",-1200,15,0,0,0,""
"Crisi: Vaga General","Crisi Governamental","Aguantar el pols i no cedir",0,-10,4,0,0,"Redueix la demanda un 20% durant 2 trimestres."
