Policy_ID,Policy_Title,Category,Cost_M_Euro,Implementation_Time_Quarters,Base_Success_Chance_Percent,Enactment_Approval_Citizen,Enactment_Approval_Business,Enactment_Approval_Political,Enactment_Approval_Environmentalist,Effect_Description
rehabilitation,"Pla de Rehabilitació Energètica","Eficiència i Demanda",1200,4,70,0,0,0,0,"Redueix la demanda base en 150 MW. Afecta aprovació: Ciutadans +5%, Ecologistes +2%."
electrification_incentives,"Pla d'Incentius a l'Electrificació","Eficiència i Demanda",1500,3,75,4,2,2,3,"Redueix la demanda base en 120 MW. Afecta aprovació: Ciutadans +5%, Empresaris +3%, Ecologistes +4%."
appliance_renewal,"Pla de Renovació d'Electrodomèstics","Eficiència i Demanda",700,2,80,0,0,0,0,"Redueix la demanda base en 80 MW. Afecta aprovació: Ciutadans +4%, Ecologistes +2%."
carbon_tax,"Impost a les Emissions de CO₂","Fiscalitat i Mercat",0,2,50,0,0,0,0,"Genera ingressos recurrents de 200 M€/trimestre. Afecta aprovació: Empresaris -5%, Ecologistes +5%, Ciutadans +2%."
green_fiscal_reform,"Reforma Fiscal Verda","Fiscalitat i Mercat",300,2,60,0,0,0,0,"Augmenta els ingressos per impostos en 100 M€/trimestre. Afecta aprovació: Ciutadans -3%, Empresaris -2%, Ecologistes +3%."
corporate_tax_cut,"Llei de Reducció de l'Impost de Societats","Fiscalitat i Mercat",150,2,60,0,8,0,0,"Redueix els ingressos per impostos en 150 M€/trimestre. Afecta aprovació: Empresaris +10%, Ciutadans -3%, Ecologistes -2%."
windfall_tax,"Taxa als Beneficis Extraordinaris de les Elèctriques","Fiscalitat i Mercat",0,2,55,8,-10,0,0,"Augmenta els ingressos per impostos en 250 M€/trimestre. Afecta aprovació: Empresaris -12%, Ciutadans +10%."
energy_check,"Xec Energètic Directe a la Ciutadania","Fiscalitat i Mercat",100,1,80,10,0,0,0,"Crea una despesa recurrent de 300 M€/trimestre. Afecta aprovació: Ciutadans +15%, Empresaris -3%."
eco_tourist_tax,"Taxa Turística Ecològica","Fiscalitat i Mercat",50,2,65,0,0,0,0,"Augmenta els ingressos per impostos en 80 M€/trimestre. Afecta aprovació: Empresaris -4%, Ecologistes +4%, Polítics +2%."
predictive_maintenance,"Pla de Manteniment Predictiu","Infraestructura Estratègica",800,3,75,0,0,0,0,"Redueix el cost de manteniment de TOTES les centrals en un 15% permanentment. Afecta aprovació: Empresaris +2%."
hydro_rd,"Projecte d'R+D Hidroelèctric","R+D i Tecnologia",650,3,70,0,0,0,0,"Augmenta la producció de les centrals hidroelèctriques un 15% permanentment. Afecta aprovació: Empresaris +2%, Polítics +1%."
wind_rd,"Decret de Foment a l'R+D Eòlic","R+D i Tecnologia",750,3,75,2,1,0,3,"Augmenta la producció de les centrals eòliques (terrestres i marines) un 10% permanentment."
grid_modernization,"Llei de Modernització de la Xarxa","Infraestructura Estratègica",900,2,80,0,3,2,0,"Millora el preu de venda d'excedent (+10%) i redueix el de compra per dèficit (-10%) permanentment."
aragon_energy_pact,"Acord Bilateral d'Energia amb Aragó","Infraestructura Estratègica",400,3,75,0,0,0,0,"Millora el preu de venda d'excedent (+15%) i redueix el de compra per dèficit (-15%) permanentment. Afecta aprovació: Polítics +4%."
self_consumption,"Llei d'Impuls a l'Autoconsum","Eficiència i Demanda",500,2,80,0,0,0,0,"Redueix la demanda base en 100 MW. Afecta aprovació: Ciutadans +4%, Ecologistes +4%."
battery_storage,"Pla Estratègic d'Emmagatzematge (Bateries)","Infraestructura Estratègica",2000,4,70,0,0,0,0,"Augmenta la producció efectiva de Solar i Eòlica un 20% permanentment. Afecta aprovació: Polítics +3%."
green_hydrogen,"Projecte Pilot d'Hidrogen Verd","R+D i Tecnologia",1300,3,65,0,0,0,0,"Redueix el cost de manteniment de les centrals de gas un 25% permanentment. Afecta aprovació: Ecologistes +5%, Empresaris +3%."
solar_efficiency,"Programa d'R+D en Eficiència Solar","R+D i Tecnologia",850,3,70,0,0,0,0,"Augmenta la producció de les centrals solars un 15% permanentment. Afecta aprovació: Ecologistes +3%, Empresaris +2%."
energy_education,"Programa d'Educació Energètica","Eficiència i Demanda",200,2,85,0,0,0,0,"Redueix la demanda base en 50 MW. Afecta aprovació: Ciutadans +3%, Ecologistes +1%."
nuclear_life_extension,"Extensió de Vida de Centrals Nuclears","Infraestructura Estratègica",1800,4,60,0,0,0,0,"Augmenta la producció de les centrals nuclears un 10% permanentment. Afecta aprovació: Empresaris +5%, Ecologistes -10%, Ciutadans -5%."
simplify_bureaucracy,"Simplificació Burocràtica per a Renovables","Infraestructura Estratègica",150,1,75,0,0,0,0,"No té efecte directe sobre paràmetres, sinó que redueix el temps de construcció de solars i eòliques en 1 trimestre. Afecta aprovació: Empresaris +4%, Ecologistes -3%."
offshore_wind_unlock,"Desbloqueig de l'Eòlica Marina","R+D i Tecnologia",1000,3,70,0,0,0,0,"Permet construir parcs eòlics marins. Afecta aprovació: Ciutadans +3%, Polítics +3%, Empresaris +2%."
solar_thermal_unlock,"Pla de Desenvolupament Termosolar","R+D i Tecnologia",1200,3,65,0,0,0,0,"Permet construir centrals termosolars. Afecta aprovació: Ecologistes +4%, Polítics +2%."
